Time,a2,Time,S3a
0,0,0,0
0.08333,0,0.08333,3.40876
0.16667,0,0.16667,0.00457
0.25,0,0.25,0.00313
0.33333,0,0.33333,0.0165
0.41667,0,0.41667,0.0313
0.5,0,0.5,0.05254
0.66667,0,0.66667,0.03055
0.83333,0,0.83333,0.0021
1,0,1,0.04157
1.16667,0,1.16667,0.17736
1.33333,0,1.33333,0.67332
1.5,0,1.5,0.69061
1.66667,0,1.66667,0.00291
1.83333,0,1.83333,0.06302
2,0,2,0.11877
2.16667,0,2.16667,0.36597
2.33333,0,2.33333,0.69686
2.5,0,2.5,0.25041
2.66667,0,2.66667,1.52E-04
2.83333,0,2.83333,0.0533
3,0,3,0.50785
3.16667,0,3.16667,0.58776
3.33333,0,3.33333,0.01578
3.5,0,3.5,0.03723
3.66667,0,3.66667,0.02995
3.83333,0,3.83333,0.05057
4,0,4,0.35525
4.16667,0,4.16667,0.67814
4.33333,0,4.33333,0.01351
4.5,0,4.5,0.02947
4.66667,0,4.66667,0.02894
4.83333,0,4.83333,0.03192
5,0,5,0.18099
5.16667,0,5.16667,0.64745
5.33333,0,5.33333,0.45504
5.5,0,5.5,6.91E-05
5.66667,0,5.66667,3.09E-05
5.83333,0,5.83333,0.0082
6,0,6,0.06398
6.16667,0,6.16667,0.28552
6.33333,0,6.33333,0.67745
6.5,0,6.5,0.00235
6.66667,0,6.66667,0.00386
6.83333,0,6.83333,0.01164
7,0,7,0.0447
7.16667,0,7.16667,0.02106
7.33333,0,7.33333,0.42341
7.5,0,7.5,0.67056
7.66667,0,7.66667,6.42E-05
7.83333,0,7.83333,0.02837
8,0,8,0.01961
8.16667,0,8.16667,0.02638
8.33333,0,8.33333,0.14891
8.5,0,8.5,0.62859
8.66667,0,8.66667,0.62866
8.83333,0,8.83333,0.00198
9,0,9,0.0039
9.16667,0,9.16667,0.04672
9.33333,0,9.33333,0.04107
9.5,0,9.5,0.26122
