timeA2,cA2,timeS,cS
0,0.9,0,0
0.05,0,0.05,4.66593
0.1,0,0.1,0.02854
0.15,0,0.15,0.11764
0.2,0,0.2,0.31228
0.25,0,0.25,0.4167
0.33333,0,0.33333,0.5041
0.41667,0,0.41667,0.28949
0.5,0,0.5,0.01059
0.66667,0,0.66667,0.40918
0.83333,0,0.83333,0.4179
1,0,1,0.03069
1.16667,0,1.16667,0.30861
1.33333,0,1.33333,0.65678
1.5,0,1.5,0.02646
1.66667,0,1.66667,0.33365
1.83333,0,1.83333,0.74266
2,0,2,0.00678
2.16667,0,2.16667,0.23449
2.33333,0,2.33333,0.75966
2.5,0,2.5,0.54865
2.66667,0,2.66667,0.06714
2.83333,0,2.83333,0.5729
3,0,3,0.91727
3.16667,0,3.16667,0.66053
3.33333,0,3.33333,0.0601
3.5,0,3.5,0.63565
3.66667,0,3.66667,1.1273
3.83333,0,3.83333,1.1827
4,0,4,1.33554
4.16667,0,4.16667,1.47336
4.33333,0,4.33333,1.45839
4.5,0,4.5,1.75914
4.66667,0,4.66667,2.00523
4.83333,0,4.83333,2.36982
5,0,5,2.79912
