tA2,cA2,tS,cS
0,0.1,0,0
1.02487816,0.062322946,0.985889398,0.005665722
2.047715586,0.016997167,2.013989769,0.23796034
3.033282763,0.005665722,2.965186687,0.413597734
4.019064753,0.005665722,4.024864734,0.311614731
4.966932052,0.005665722,4.972732033,0.311614731
6.028543426,0.005665722,5.915228978,0.028328612
6.938710847,0.016997167,7.014969859,0.039660057
8.038881355,0.050991501,7.964018635,0.101983003
9.024126311,0.02266289,8.95366728,0.305949008
10.00980089,0.016997167,10.0190379,0.504249292
10.95766819,0.016997167,11.00589396,0.560906516
12.01927957,0.016997167,12.02529436,0.33427762
12.92912477,0.011331445,12.92923217,0.016997167
14.02865083,0.011331445,13.95292886,0.016997167
14.97651813,0.011331445,14.97651813,0.011331445
15.96230012,0.011331445,15.92470765,0.028328612
16.98621162,0.02266289,16.91059705,0.033994334
18.01044534,0.050991501,17.97242324,0.045325779
18.9957977,0.028328612,18.95992374,0.135977337
19.98211672,0.056657224,19.94925016,0.322946176
21.08153538,0.050991501,20.97563202,0.464589235
21.99084355,0.016997167,21.96334734,0.566572238
23.01454023,0.016997167,22.98446625,0.430594901
24.00032222,0.016997167,23.92460024,0.02266289
24.9859968,0.011331445,24.98610421,0.016997167
25.93397151,0.016997167,25.93418632,0.028328612
26.99558288,0.016997167,26.95788301,0.028328612
28.01927957,0.016997167,27.943665,0.028328612
29.00495415,0.011331445,28.96746909,0.033994334
29.91512157,0.02266289,29.95346589,0.045325779
31.05277714,0.033994334,31.01593652,0.090651558
31.96305197,0.050991501,31.92814468,0.209631728
32.91048964,0.028328612,32.99480418,0.47592068
33.97210102,0.028328612,34.05888592,0.606232295
35.07130486,0.011331445,34.93167568,0.645892351
35.94334278,0.011331445,35.95225756,0.481586402
37.04286884,0.011331445,36.96736168,0.028328612
38.02886565,0.02266289,37.99127318,0.039660057
39.01464764,0.02266289,38.93903307,0.033994334
39.92449284,0.016997167,40.00053704,0.028328612
40.98610421,0.016997167,40.94829693,0.02266289
41.93397151,0.016997167,41.97210102,0.028328612
43.03403461,0.045325779,42.91996831,0.028328612
44.05697944,0.005665722,43.98190191,0.045325779
45.00484674,0.005665722,44.96779131,0.050991501
